0,1626,1597,451,876,1147,1518,1586,898,1389,1863,1246,587
1626,0,1131,1412,774,485,1048,248,1821,838,822,1095,1712
1597,1131,0,1700,1238,983,1999,1341,2267,333,521,351,1274
451,1412,1700,0,642,984,1090,1311,575,1426,1843,1374,984
876,774,1238,642,0,350,869,710,1117,918,1256,982,1117
1147,485,983,984,350,0,1018,523,1466,650,918,803,1242
1518,1048,1999,1090,869,1018,0,806,1143,1666,1837,1808,1929
1586,248,1341,1311,710,523,806,0,1661,1029,1067,1259,1758
898,1821,2267,575,1117,1466,1143,1661,0,1981,2369,1947,1485
1389,838,333,1426,918,650,1666,1029,1981,0,492,295,1181
1863,822,521,1843,1256,918,1837,1067,2369,492,0,750,1672
1246,1095,351,1374,982,803,1808,1259,1947,295,750,0,939
587,1712,1274,984,1117,1242,1929,1758,1485,1181,1672,939,0
