0,4697,3212,1180,4024,2873,3476,4060,1266,3370,3778,2807,2338
2667,0,2685,2746,4279,1470,2621,365,3697,2844,1818,1604,2795
2258,2082,0,2336,3884,1075,2226,2262,3288,430,2028,1195,2386
1668,3628,3636,0,4292,2622,3744,3808,1534,3795,4202,2555,2606
2358,2455,2462,1657,0,1448,2599,2635,3388,2621,3028,1382,2573
4630,2202,4734,3929,2808,0,1151,2481,3791,4893,3978,3654,4845
3832,1501,3937,3132,2011,2923,0,1780,3676,4095,3277,2856,4047
2848,365,2865,2926,4459,1651,2801,0,3877,3024,1998,1785,2976
2296,3276,4529,2105,2603,3515,2055,3555,0,4688,5096,3449,3234
1827,1652,1845,1906,3454,645,1796,1832,2857,0,1597,764,1956
2561,1102,2337,2640,4173,1364,2515,1282,3591,2496,0,1498,2689
2675,3183,1515,3619,5128,2319,3470,3364,3705,1674,2082,0,2556
2423,3974,3084,3367,6479,2968,4119,4155,3453,3242,3927,2901,0
